Specimen codea,Sexb,Agec,Collection dated,Tissue,Haplotype,Microsatellites attempted?
RBCM 001441,?,Ad,19100000,Tooth root,lu68,No
Cowan 6146,M,?,19320326,Tooth root,lu68h,No
RBCM 001862,F,Ad,19370329,Tooth root,lu68e,No
RBCM 001864,M,Ad,19370416,Tooth root,lu68,No
RBCM 001863,F,Ad,19370417,Tooth root,lu68,No
RBCM 003339,M,Ad,19380800,Tooth root,lu68,No
RBCM 005304,F,Ad,19470924,Tooth root,lu68,No
RBCM 005305,?,Imm,19470924,Tooth root,lu68,No
RBCM 005306,?,Imm,19470924,Tooth root,lu68f,No
RBCM 005307,?,Imm,19470924,Tooth root,lu68/38f,No
RBCM 005647,M,Ad,19500225,Tooth root,lu68,No
RBCM 005648,F,Ad,19500225,Tooth root,lu68,No
RBCM 005659,M,Ad,19500930,Tooth root,lu68,No
Cowan 10876,F,,19771019,Tooth root,lu38h,No
RBCM 015382,M,Ad,19851005,Tooth root,lu38h,Yes
RBCM 015392,F,Ad,19851024,Tooth root,lu38h,Yes
RBCM 016086,F,Ad,19860000,Tooth root,Dog,Yesg
RBCM 016089,F,Imm,19860000,Tooth root,Dog,Yes
RBCM 016093,M,Ad,19860000,Tooth root,lu38h,Yes
RBCM 016094,M,Ad,19860000,Tooth root,lu38h,Yes
RBCM 016097,F,Ad,19860000,Tooth root,Dog,Yes
RBCM 016099,M,Ad,19860000,Tooth root,lu38h,Yes
RBCM 016100,F,Ad,19860000,Tooth root,lu38h,Yes
RBCM 016103,M,?,19860000,Tooth root,lu38h,Yes
RBCM 015387,F,Ad,19860104,Tooth root,lu38h,Yes
RBCM 015386,M,Ad,19860127,Tooth root,lu38h,Yes
RBCM 015771,F,Ad,19860302,Tooth root,lu38h,Yes
RBCM 015766,M,Ad,19860601,Tooth root,lu38h,Yes
RBCM 015765,F,Ad,19860605,Tooth root,lu38h,Yes
RBCM 015775,M,Ad,19860626,Tooth root,lu38h,Yes
RBCM 015777,M,Imm,19860716,Tooth root,lu38h,Yes
JAL 5171,?,?,20051100,Muscle,lu38,Yes
JAL 5172,M,Ad,20070300,Muscle,lu38,Yes
